ID,Text,Primary Category ID,Secondary Category IDs,Classification Reasoning
1,The app keeps freezing whenever I try to upload a file. Please let me know what steps I should take next.,C01,,"The message describes the app or interface malfunctioning during normal use (freezes, crashes, or blank pages)."
2,Your service seems to be down—I can't access anything. This has been really frustrating. Thanks in advance for your help.,C09,,"They report the entire service or team access is unavailable, suggesting a wider outage."
3,I'm thinking about canceling because I no longer need the service. Let me know if you need screenshots or additional details. I've tried troubleshooting on my own but no luck. This issue is affecting my work.,C04,,"They want to cancel or change their plan, or say charges continued despite cancellation attempts."
4,I'm thinking about canceling because I no longer need the service. Hoping you can help me resolve this quickly. I checked the FAQ but couldn't find anything useful. This has been really frustrating.,C04,,"They want to cancel or change their plan, or say charges continued despite cancellation attempts."
5,Why was my refund request denied even though I'm within the return window? This has been really frustrating. I've tried troubleshooting on my own but no luck.,C03,,"The complaint centers on incorrect or unexpected charges, billing errors, or refund denials."
6,I keep getting a blank screen after logging in. This has been really frustrating.,C01,,"The message describes the app or interface malfunctioning during normal use (freezes, crashes, or blank pages)."
7,"Not sure who to contact, but hoping you can point me in the right direction. I checked the FAQ but couldn't find anything useful.",C07,,"The writer says the request reached the wrong place and asks to be redirected, indicating a misrouted inquiry."
8,The tracking number hasn't updated in over a week. I've tried troubleshooting on my own but no luck.,C05,,"The note is about a physical delivery problem such as damage, missing packages, or wrong items."
9,The latest update caused the settings page to crash. Thanks in advance for your help. Not sure if this is a known issue. This has been really frustrating.,C01,,"The message describes the app or interface malfunctioning during normal use (freezes, crashes, or blank pages)."
10,I'm being charged fees that I was never informed about. Not sure if this is a known issue. Thanks in advance for your help.,C03,,"The complaint centers on incorrect or unexpected charges, billing errors, or refund denials."
11,I noticed an unexpected charge on my account and can't figure out where it came from. Hoping you can help me resolve this quickly.,C03,,"The complaint centers on incorrect or unexpected charges, billing errors, or refund denials."
12,I'm locked out of my account even though my password is correct. Let me know if you need screenshots or additional details.,C02,,"They cannot access their account or complete authentication steps like passwords, 2FA, or login."
13,I'm thinking about canceling because I no longer need the service. Please let me know what steps I should take next. I've tried troubleshooting on my own but no luck. I haven't changed any settings recently.,C04,,"They want to cancel or change their plan, or say charges continued despite cancellation attempts."
14,The shipment arrived damaged and unusable. I've tried troubleshooting on my own but no luck.,C05,,"The note is about a physical delivery problem such as damage, missing packages, or wrong items."
15,I was billed twice for the same month and need help sorting it out. I haven't changed any settings recently.,C03,,"The complaint centers on incorrect or unexpected charges, billing errors, or refund denials."
16,Really impressed with how fast your team resolved my issue. Thanks in advance for your help.,C10,,The text is primarily praise or positive feedback about the product or support.
17,The shipment arrived damaged and unusable. I haven't changed any settings recently.,C05,,"The note is about a physical delivery problem such as damage, missing packages, or wrong items."
18,The instructions on your help page don't match what I see in the app. This has been really frustrating. I haven't changed any settings recently.,C08,,"They are confused by guidance or onboarding, asking for clearer instructions or explanations."
19,I think this message got sent to the wrong department—I'm looking for HR. This has been really frustrating. Not sure if this is a known issue. I checked the FAQ but couldn't find anything useful.,C07,,"The writer says the request reached the wrong place and asks to be redirected, indicating a misrouted inquiry."
20,The app keeps freezing whenever I try to upload a file. Hoping you can help me resolve this quickly. Please let me know what steps I should take next. Not sure if this is a known issue.,C01,,"The message describes the app or interface malfunctioning during normal use (freezes, crashes, or blank pages)."
